Date;Sector;Percent change from baseline
2021-10-31;transit stations;-12
2021-11-01;grocery and pharmacy;-2
2021-11-02;parks;31
2021-11-03;retail and recreation;-16
2021-11-03;grocery and pharmacy;1
2021-11-04;retail and recreation;-11
2021-11-04;grocery and pharmacy;3
2021-11-04;workplaces;-34
2021-11-06;parks;2
2021-11-06;transit stations;-18
2021-11-07;retail and recreation;-8
2021-11-07;parks;38
2021-11-07;residential;0
2021-11-08;transit stations;-35
2021-11-09;workplaces;-33
2021-11-10;workplaces;-34
2021-11-11;transit stations;-33
2021-11-14;retail and recreation;-5
2021-11-14;parks;37
2021-11-24;grocery and pharmacy;0
2021-11-24;parks;6
2021-11-24;workplaces;-32
2021-11-25;residential;9
2021-11-26;grocery and pharmacy;2
2021-11-27;retail and recreation;-16
2021-11-27;residential;3
2021-11-28;grocery and pharmacy;2
2021-11-29;transit stations;-36
2021-12-02;grocery and pharmacy;2
2021-12-02;workplaces;-32
2021-12-06;grocery and pharmacy;-3
2021-12-06;parks;-2
2021-12-06;workplaces;-36
2021-12-08;retail and recreation;-10
2021-12-08;parks;-12
2021-12-10;grocery and pharmacy;2
2021-12-13;workplaces;-38
2021-12-15;workplaces;-37
2021-12-17;residential;12
2021-12-18;parks;-2
2021-12-19;grocery and pharmacy;-2
2021-12-19;residential;3
2021-12-21;residential;14
2021-12-23;grocery and pharmacy;21
2021-12-25;parks;-54
2021-12-25;residential;12
2021-12-27;grocery and pharmacy;-36
2021-12-29;workplaces;-70
2021-12-30;grocery and pharmacy;-4
2021-12-30;workplaces;-69
2021-12-31;parks;11
2022-01-01;grocery and pharmacy;-55
2022-01-01;transit stations;-66
2022-01-01;residential;10
2022-01-04;retail and recreation;-28
2022-01-06;transit stations;-54
2022-01-06;workplaces;-44
2022-01-07;retail and recreation;-32
2022-01-07;transit stations;-52
2022-01-08;transit stations;-48
2022-01-10;parks;3
2022-01-10;workplaces;-41
2022-01-14;parks;18
2022-01-14;transit stations;-44
2022-01-15;parks;13
2022-01-20;residential;13
2022-01-25;workplaces;-36
2022-01-26;parks;9
2022-01-26;residential;12
2022-01-27;retail and recreation;-19
2022-01-29;parks;2
2022-01-29;transit stations;-25
2022-01-29;residential;3
2022-02-01;workplaces;-35
2022-02-03;transit stations;-38
2022-02-05;retail and recreation;-18
2022-02-06;residential;3
2022-02-07;workplaces;-37
2020-02-16;parks;-34
2020-02-20;residential;2
2020-02-23;parks;6
2020-02-26;retail and recreation;-2
2020-03-03;transit stations;-1
2020-03-04;residential;1
2020-03-05;retail and recreation;-3
2020-03-05;transit stations;-3
2020-03-07;parks;11
2020-03-08;grocery and pharmacy;3
2020-03-09;grocery and pharmacy;0
2020-03-09;parks;1
2020-03-10;workplaces;1
2020-03-11;retail and recreation;-5
2020-03-11;parks;3
2020-03-13;grocery and pharmacy;10
2020-03-13;transit stations;-7
2020-03-15;workplaces;-5
2020-03-16;workplaces;-10
2020-03-18;retail and recreation;-38
2020-03-21;transit stations;-55
2020-03-21;workplaces;-30
2020-03-22;parks;42
2020-03-24;retail and recreation;-76
2020-03-24;grocery and pharmacy;-27
2020-03-25;retail and recreation;-80
2020-03-25;residential;30
2020-03-26;workplaces;-72
2020-03-27;residential;33
2020-03-29;transit stations;-81
2020-04-01;workplaces;-75
2020-04-02;retail and recreation;-81
2020-04-03;retail and recreation;-81
2020-04-04;residential;21
2020-04-05;grocery and pharmacy;-43
2020-04-05;parks;-5
2020-04-05;workplaces;-55
2020-04-11;workplaces;-59
2020-04-12;grocery and pharmacy;-62
2020-04-14;workplaces;-74
2020-04-16;grocery and pharmacy;-31
2020-04-17;retail and recreation;-84
2020-04-19;retail and recreation;-84
2020-04-19;transit stations;-77
2020-04-19;residential;17
2020-04-20;parks;33
2020-04-22;retail and recreation;-79
2020-04-24;grocery and pharmacy;-31
2020-04-25;grocery and pharmacy;-37
2020-04-26;retail and recreation;-82
2020-04-28;parks;-43
2020-04-28;workplaces;-73
2020-04-29;workplaces;-72
2020-04-29;residential;31
2020-04-30;residential;32
2020-05-01;transit stations;-79
2020-05-02;grocery and pharmacy;-35
2020-05-02;residential;19
2020-05-03;retail and recreation;-86
2020-05-09;parks;29
2020-05-09;transit stations;-72
2020-05-10;residential;17
2020-05-14;workplaces;-69
2020-05-16;grocery and pharmacy;-31
2020-05-21;residential;27
2020-05-23;retail and recreation;-82
2020-05-24;workplaces;-38
2020-05-25;grocery and pharmacy;-30
2020-05-25;transit stations;-74
2020-05-26;transit stations;-71
2020-05-28;parks;148
2020-05-28;transit stations;-71
2020-05-28;workplaces;-65
2020-05-29;parks;142
2020-05-30;grocery and pharmacy;-22
2020-05-30;residential;12
2020-05-31;parks;116
2020-06-02;parks;155
2020-06-02;residential;23
2020-06-03;parks;-15
2020-06-06;grocery and pharmacy;-27
2020-06-07;retail and recreation;-67
2020-06-08;transit stations;-65
2020-06-09;grocery and pharmacy;-19
2020-06-09;transit stations;-66
2020-06-11;parks;26
2020-06-14;retail and recreation;-73
2020-06-14;workplaces;-25
2020-06-15;retail and recreation;-58
2020-06-16;transit stations;-67
2020-06-18;residential;26
2020-06-19;workplaces;-59
2020-06-21;residential;8
2020-06-22;retail and recreation;-58
2020-06-23;retail and recreation;-57
2020-06-23;workplaces;-59
2020-06-25;transit stations;-63
2020-06-26;grocery and pharmacy;-13
2020-06-28;residential;10
2020-06-29;retail and recreation;-58
2020-06-30;workplaces;-57
2020-07-01;grocery and pharmacy;-19
