Date;Sector;Percent change from baseline
2020-12-31;retail and recreation;-50
2020-12-31;workplaces;-69
2021-01-01;retail and recreation;-82
2021-01-02;parks;2
2021-01-02;transit stations;-68
2021-01-05;transit stations;-69
2021-01-08;grocery and pharmacy;-25
2021-01-09;retail and recreation;-77
2021-01-09;parks;8
2021-01-10;workplaces;-29
2021-01-11;parks;1
2021-01-12;workplaces;-58
2021-01-13;workplaces;-57
2021-01-14;retail and recreation;-71
2021-01-14;transit stations;-75
2021-01-14;residential;25
2021-01-16;retail and recreation;-76
2021-01-16;residential;16
2021-01-20;workplaces;-58
2021-01-21;retail and recreation;-69
2021-01-21;residential;25
2021-01-22;residential;26
2021-01-29;grocery and pharmacy;-18
2021-01-31;grocery and pharmacy;-27
2021-01-31;residential;13
2021-02-01;grocery and pharmacy;-26
2021-02-02;retail and recreation;-65
2021-02-04;parks;4
2021-02-05;parks;33
2021-02-06;retail and recreation;-72
2021-02-06;grocery and pharmacy;-21
2021-02-07;grocery and pharmacy;-26
2021-02-08;workplaces;-58
2021-02-09;parks;11
2021-02-12;retail and recreation;-66
2021-02-12;parks;27
2021-02-13;retail and recreation;-73
2021-02-13;workplaces;-32
2021-02-14;parks;-10
2021-02-16;parks;44
2021-02-17;grocery and pharmacy;-22
2021-02-18;retail and recreation;-61
2021-02-21;transit stations;-69
2021-02-22;workplaces;-57
2021-02-25;retail and recreation;-61
2021-02-25;transit stations;-70
2021-02-28;workplaces;-26
2021-03-02;workplaces;-56
2021-03-04;grocery and pharmacy;-15
2021-03-04;transit stations;-72
2021-03-05;grocery and pharmacy;-9
2021-03-08;retail and recreation;-55
2021-03-09;retail and recreation;-55
2021-03-09;transit stations;-66
2021-03-10;workplaces;-52
2021-03-11;grocery and pharmacy;-12
2021-03-11;parks;10
2021-03-12;workplaces;-49
2021-03-16;workplaces;-51
2021-03-17;workplaces;-50
2021-03-19;parks;66
2021-03-21;retail and recreation;-58
2021-03-21;residential;10
2021-03-24;transit stations;-64
2021-03-25;grocery and pharmacy;-6
2021-03-25;transit stations;-64
2021-03-26;retail and recreation;-60
2021-03-28;workplaces;-24
2021-03-30;workplaces;-48
2021-03-30;residential;15
2021-04-03;parks;89
2021-04-03;residential;9
2021-04-04;grocery and pharmacy;-38
2021-04-04;transit stations;-61
2021-04-06;grocery and pharmacy;-6
2021-04-07;parks;45
2021-04-07;residential;20
2021-04-09;workplaces;-53
2021-04-14;residential;16
2021-04-16;parks;96
2021-04-16;residential;15
2021-04-17;workplaces;-16
2021-04-23;residential;12
2021-04-26;transit stations;-53
2021-04-29;transit stations;-53
2021-04-29;residential;14
2021-04-30;residential;13
2021-05-01;workplaces;-20
2021-05-02;workplaces;-15
2021-05-03;residential;23
2021-05-05;parks;38
2021-05-05;transit stations;-55
2021-05-06;parks;118
2021-05-06;transit stations;-51
2021-05-10;workplaces;-45
2021-05-15;grocery and pharmacy;-3
2021-05-15;parks;68
2021-05-17;parks;89
2021-05-21;retail and recreation;-37
2021-05-21;grocery and pharmacy;-5
2021-05-24;transit stations;-49
2021-05-26;grocery and pharmacy;0
2021-05-28;retail and recreation;-25
2021-05-29;workplaces;-11
2021-05-30;retail and recreation;-16
2021-05-30;grocery and pharmacy;1
2021-05-31;residential;12
2021-06-01;retail and recreation;-13
2021-06-01;residential;11
2021-06-02;retail and recreation;-22
2021-06-02;transit stations;-50
2021-06-03;parks;111
2021-06-04;transit stations;-42
2021-06-08;retail and recreation;-18
2021-06-08;grocery and pharmacy;5
2021-06-08;residential;11
2021-06-11;grocery and pharmacy;3
2021-06-11;workplaces;-39
2021-06-12;grocery and pharmacy;2
2021-06-12;transit stations;-32
2021-06-12;residential;0
2021-06-13;workplaces;-3
2021-06-14;transit stations;-46
2021-06-14;residential;11
2021-06-15;workplaces;-39
2021-06-18;workplaces;-40
2021-06-19;parks;53
2021-06-20;retail and recreation;-28
2021-06-20;workplaces;-2
2021-06-21;grocery and pharmacy;-5
2021-06-22;workplaces;-41
2021-06-23;grocery and pharmacy;-2
2021-06-23;transit stations;-46
2021-06-24;grocery and pharmacy;2
2021-06-25;workplaces;-40
2021-06-26;grocery and pharmacy;-3
2021-06-27;retail and recreation;-27
2021-06-28;grocery and pharmacy;-5
2021-06-28;parks;54
2021-07-01;grocery and pharmacy;4
2021-07-03;transit stations;-38
2021-07-04;retail and recreation;-28
2021-07-07;grocery and pharmacy;-3
2021-07-07;transit stations;-48
2021-07-08;transit stations;-47
2021-07-08;residential;13
2021-07-09;workplaces;-42
2021-07-10;retail and recreation;-31
2021-07-11;retail and recreation;-25
2021-07-12;grocery and pharmacy;-9
2021-07-12;workplaces;-49
2021-07-13;transit stations;-50
2021-07-14;grocery and pharmacy;-1
2021-07-15;parks;129
2021-07-16;grocery and pharmacy;1
2021-07-18;grocery and pharmacy;-2
2021-07-20;grocery and pharmacy;6
2021-07-22;retail and recreation;-23
2021-07-23;transit stations;-43
2021-07-25;retail and recreation;-24
2021-07-27;residential;14
2021-07-28;retail and recreation;-23
2021-07-28;residential;14
2021-07-29;residential;12
2021-07-30;workplaces;-50
2021-07-30;residential;11
2021-07-31;residential;0
2021-08-01;residential;0
2021-08-02;grocery and pharmacy;-9
2021-08-04;transit stations;-49
2021-08-05;residential;13
2021-08-06;parks;43
2021-08-06;transit stations;-44
2021-08-10;workplaces;-50
2021-08-10;residential;12
2021-08-11;workplaces;-50
2021-08-12;grocery and pharmacy;0
2021-08-15;transit stations;-38
2021-08-16;parks;78
2021-08-16;residential;11
2021-08-17;parks;69
2021-08-18;transit stations;-50
2021-08-21;transit stations;-39
2021-08-22;residential;-1
2021-08-25;grocery and pharmacy;-3
2021-08-26;transit stations;-45
2021-08-26;residential;10
2021-08-31;parks;53
2021-09-01;parks;40
2021-09-01;transit stations;-51
2021-09-02;residential;12
2021-09-03;grocery and pharmacy;-4
2021-09-03;parks;99
2021-09-03;transit stations;-45
2021-09-04;retail and recreation;-24
2021-09-04;residential;-1
2021-09-06;retail and recreation;-15
2021-09-06;grocery and pharmacy;-1
2021-09-06;transit stations;-38
2021-09-06;workplaces;-46
2021-09-06;residential;10
2021-09-07;workplaces;-43
2021-09-08;workplaces;-42
2021-09-09;retail and recreation;-18
2021-09-09;transit stations;-39
2021-09-10;grocery and pharmacy;-2
2021-09-10;transit stations;-33
2021-09-10;workplaces;-41
2021-09-11;parks;60
2021-09-13;grocery and pharmacy;-2
2021-09-14;retail and recreation;-15
2021-09-17;transit stations;-29
2021-09-17;workplaces;-43
2021-09-18;grocery and pharmacy;-4
2021-09-19;workplaces;-7
2021-09-21;parks;78
2021-09-26;grocery and pharmacy;2
2021-09-26;workplaces;-4
2021-09-29;parks;32
2021-09-29;residential;9
2021-09-30;parks;16
2021-10-06;transit stations;-36
2021-10-10;retail and recreation;-9
2021-10-10;grocery and pharmacy;-2
2021-10-10;workplaces;-3
2021-10-10;residential;0
2021-10-12;retail and recreation;-10
2021-10-13;retail and recreation;-15
2021-10-13;parks;28
2021-10-17;residential;1
2021-10-18;retail and recreation;-21
2021-10-19;parks;21
2021-10-21;transit stations;-35
2021-10-23;retail and recreation;-19
2021-10-23;transit stations;-21
2021-10-24;retail and recreation;-13
2021-10-25;workplaces;-48
2021-10-26;grocery and pharmacy;1
2021-10-26;transit stations;-37
2021-10-26;workplaces;-45
2021-10-26;residential;11
2021-10-27;transit stations;-37
2021-10-28;grocery and pharmacy;0
2021-10-28;parks;30
2021-10-28;transit stations;-34
2021-10-31;residential;1
2021-11-01;residential;11
2021-11-03;workplaces;-34
2021-11-06;residential;2
2021-11-07;grocery and pharmacy;0
2021-11-16;workplaces;-32
2021-11-18;grocery and pharmacy;3
2021-11-19;transit stations;-25
2021-11-23;parks;16
2021-11-24;transit stations;-34
2021-11-25;grocery and pharmacy;2
2021-11-25;transit stations;-30
2021-11-28;workplaces;-2
2021-11-29;parks;18
2021-12-01;parks;-5
2021-12-02;retail and recreation;-6
2021-12-03;parks;7
2021-12-04;workplaces;-6
2021-12-05;parks;-2
2021-12-06;retail and recreation;-12
2021-12-11;grocery and pharmacy;-1
2021-12-12;retail and recreation;-7
2021-12-12;grocery and pharmacy;0
2021-12-12;workplaces;3
2021-12-12;residential;2
2021-12-13;residential;12
2021-12-14;grocery and pharmacy;5
2021-12-15;retail and recreation;-8
2021-12-15;parks;1
2021-12-15;residential;12
2021-12-16;workplaces;-38
2021-12-17;parks;4
2021-12-17;workplaces;-40
2021-12-18;workplaces;-7
2021-12-20;parks;13
2021-12-20;transit stations;-44
2021-12-21;transit stations;-48
2021-12-22;retail and recreation;-12
2021-12-22;parks;-6
2021-12-22;workplaces;-55
2021-12-23;transit stations;-48
2021-12-24;transit stations;-58
2021-12-26;retail and recreation;-53
2021-12-29;retail and recreation;-24
2021-12-31;grocery and pharmacy;-1
2021-12-31;workplaces;-69
2021-12-31;residential;17
2022-01-01;workplaces;-45
2022-01-05;retail and recreation;-35
2022-01-05;grocery and pharmacy;-11
2022-01-06;residential;17
2022-01-07;grocery and pharmacy;-12
2022-01-13;grocery and pharmacy;-7
2022-01-13;parks;26
2022-01-14;residential;13
2022-01-15;grocery and pharmacy;-10
2022-01-16;grocery and pharmacy;-10
2022-01-17;workplaces;-39
2022-01-18;retail and recreation;-22
2022-01-19;residential;13
2022-01-21;grocery and pharmacy;-8
2022-01-21;transit stations;-40
2022-01-22;grocery and pharmacy;-9
2022-01-23;retail and recreation;-20
2022-01-23;transit stations;-26
2022-01-27;transit stations;-42
2022-01-28;parks;8
2022-01-28;residential;12
2022-01-29;retail and recreation;-19
2022-01-30;transit stations;-21
2022-01-30;residential;1
2022-01-31;retail and recreation;-21
2022-02-01;parks;36
2022-02-01;transit stations;-40
2022-02-03;grocery and pharmacy;-5
2022-02-04;retail and recreation;-18
2022-02-04;workplaces;-34
2022-02-04;residential;11
2022-02-07;grocery and pharmacy;-8
2020-02-19;parks;-16
2020-02-19;workplaces;-9
2020-02-20;retail and recreation;7
2020-02-21;grocery and pharmacy;-1
2020-02-23;residential;-1
2020-02-24;grocery and pharmacy;-3
2020-02-25;transit stations;4
2020-02-27;workplaces;2
2020-02-27;residential;-1
2020-02-29;parks;8
2020-03-01;transit stations;20
2020-03-01;workplaces;3
2020-03-02;transit stations;0
2020-03-03;grocery and pharmacy;4
2020-03-03;parks;26
2020-03-06;retail and recreation;3
2020-03-08;transit stations;12
2020-03-10;transit stations;-2
2020-03-13;parks;12
2020-03-14;grocery and pharmacy;6
2020-03-14;workplaces;-1
2020-03-15;residential;2
2020-03-16;residential;4
2020-03-18;transit stations;-45
2020-03-19;parks;-13
2020-03-20;transit stations;-52
2020-03-21;grocery and pharmacy;-9
2020-03-23;workplaces;-55
2020-03-25;parks;1
2020-03-27;grocery and pharmacy;-34
2020-03-27;transit stations;-79
2020-04-02;transit stations;-82
2020-04-03;workplaces;-73
2020-04-04;grocery and pharmacy;-41
2020-04-04;parks;-17
2020-04-06;parks;12
2020-04-06;workplaces;-75
2020-04-08;grocery and pharmacy;-31
2020-04-09;parks;30
2020-04-10;retail and recreation;-84
2020-04-10;workplaces;-84
2020-04-11;grocery and pharmacy;-36
2020-04-11;parks;-9
2020-04-12;residential;19
2020-04-14;residential;31
2020-04-17;parks;-43
2020-04-18;transit stations;-82
2020-04-20;grocery and pharmacy;-36
2020-04-21;grocery and pharmacy;-33
2020-04-23;workplaces;-73
2020-04-23;residential;31
2020-04-27;residential;30
2020-05-01;workplaces;-71
2020-05-02;parks;13
2020-05-03;parks;-10
2020-05-05;parks;34
2020-05-07;retail and recreation;-77
2020-05-07;parks;46
2020-05-07;residential;29
2020-05-10;workplaces;-49
2020-05-11;workplaces;-71
2020-05-12;residential;28
2020-05-14;retail and recreation;-76
2020-05-15;grocery and pharmacy;-27
2020-05-16;parks;44
2020-05-17;workplaces;-42
2020-05-19;grocery and pharmacy;-24
2020-05-19;transit stations;-72
2020-05-20;parks;110
2020-05-20;workplaces;-67
2020-05-21;retail and recreation;-74
2020-05-21;workplaces;-67
2020-05-22;parks;62
2020-05-23;residential;17
2020-05-27;grocery and pharmacy;-20
2020-05-27;parks;108
2020-05-29;retail and recreation;-73
2020-05-30;parks;104
2020-06-01;retail and recreation;-68
2020-06-01;residential;23
2020-06-02;retail and recreation;-68
2020-06-03;workplaces;-63
2020-06-04;grocery and pharmacy;-21
2020-06-05;retail and recreation;-72
2020-06-05;parks;78
2020-06-09;parks;123
2020-06-10;parks;26
2020-06-10;transit stations;-70
2020-06-10;residential;25
2020-06-12;retail and recreation;-72
2020-06-13;workplaces;-27
2020-06-15;residential;22
2020-06-18;transit stations;-72
2020-06-21;transit stations;-59
2020-06-24;grocery and pharmacy;-13
2020-06-24;residential;20
2020-06-25;workplaces;-58
2020-06-27;grocery and pharmacy;-23
2020-06-29;grocery and pharmacy;-21
2020-06-29;workplaces;-58
2020-06-30;parks;70
2020-07-01;retail and recreation;-56
2020-07-01;workplaces;-57
2020-07-01;residential;21
2020-07-02;grocery and pharmacy;-18
2020-07-02;transit stations;-64
2020-07-03;parks;31
2020-07-04;retail and recreation;-62
2020-07-05;transit stations;-52
2020-07-07;retail and recreation;-48
2020-07-07;parks;70
2020-07-07;transit stations;-59
2020-07-08;parks;15
2020-07-09;transit stations;-61
2020-07-10;retail and recreation;-50
2020-07-10;parks;112
2020-07-12;grocery and pharmacy;-19
2020-07-19;parks;96
2020-07-21;transit stations;-59
2020-07-21;residential;16
2020-07-23;grocery and pharmacy;-19
2020-07-23;residential;18
2020-07-24;residential;15
2020-07-27;residential;18
2020-07-29;parks;80
2020-07-29;workplaces;-57
2020-07-29;residential;16
2020-07-30;grocery and pharmacy;-13
2020-08-02;residential;2
2020-08-04;parks;75
2020-08-05;retail and recreation;-31
2020-08-05;workplaces;-57
2020-08-06;parks;81
2020-08-06;transit stations;-59
2020-08-08;transit stations;-44
2020-08-08;residential;1
2020-08-09;grocery and pharmacy;-25
2020-08-09;workplaces;-13
2020-08-10;retail and recreation;-28
2020-08-10;parks;91
2020-08-11;parks;126
2020-08-12;workplaces;-57
2020-08-14;transit stations;-57
2020-08-15;residential;5
2020-08-17;workplaces;-58
2020-08-18;transit stations;-57
2020-08-20;retail and recreation;-31
2020-08-21;retail and recreation;-39
2020-08-21;grocery and pharmacy;-22
2020-08-22;retail and recreation;-44
2020-08-22;residential;4
2020-08-23;retail and recreation;-38
2020-08-24;retail and recreation;-18
2020-08-24;transit stations;-54
2020-08-25;transit stations;-57
2020-08-26;transit stations;-53
2020-08-27;grocery and pharmacy;-22
2020-08-27;transit stations;-58
2020-08-29;grocery and pharmacy;-21
2020-08-30;grocery and pharmacy;-20
2020-08-30;transit stations;-34
2020-08-31;residential;14
2020-09-02;residential;14
2020-09-04;workplaces;-50
2020-09-05;workplaces;-14
2020-09-07;retail and recreation;-33
2020-09-09;retail and recreation;-34
2020-09-12;parks;78
2020-09-13;workplaces;-8
2020-09-14;transit stations;-46
2020-09-18;parks;71
2020-09-18;residential;10
2020-09-23;workplaces;-45
2020-09-24;residential;14
2020-09-25;parks;39
2020-09-27;retail and recreation;-30
2020-09-29;parks;65
2020-10-01;parks;40
2020-10-03;retail and recreation;-42
2020-10-03;parks;-28
2020-10-05;transit stations;-50
2020-10-05;residential;13
2020-10-08;residential;14
2020-10-10;workplaces;-8
2020-10-11;grocery and pharmacy;-14
2020-10-11;workplaces;-7
2020-10-13;transit stations;-52
2020-10-14;workplaces;-41
2020-10-15;grocery and pharmacy;-11
2020-10-16;retail and recreation;-34
2020-10-17;workplaces;-8
2020-10-18;parks;39
2020-10-19;transit stations;-51
2020-10-20;transit stations;-52
2020-10-21;parks;-22
2020-10-23;workplaces;-42
2020-10-24;retail and recreation;-42
2020-10-24;workplaces;-10
2020-10-26;retail and recreation;-27
2020-10-28;residential;17
2020-10-29;retail and recreation;-29
2020-10-29;parks;7
2020-10-31;residential;7
2020-11-01;parks;-1
2020-11-01;transit stations;-42
2020-11-05;grocery and pharmacy;-19
2020-11-05;transit stations;-62
2020-11-05;workplaces;-49
2020-11-07;workplaces;-32
2020-11-12;workplaces;-50
2020-11-13;residential;22
2020-11-14;parks;-30
2020-11-15;grocery and pharmacy;-20
2020-11-15;residential;13
2020-11-16;residential;21
2020-11-17;transit stations;-63
2020-11-19;grocery and pharmacy;-15
2020-11-19;parks;46
2020-11-21;grocery and pharmacy;-17
2020-11-23;grocery and pharmacy;-18
2020-11-24;grocery and pharmacy;-16
2020-11-27;grocery and pharmacy;-12
2020-11-30;grocery and pharmacy;-16
2020-12-02;parks;-1
2020-12-03;parks;-8
2020-12-04;parks;14
2020-12-05;grocery and pharmacy;-13
2020-12-06;grocery and pharmacy;-13
2020-12-07;grocery and pharmacy;-14
2020-12-07;transit stations;-56
2020-12-09;retail and recreation;-48
2020-12-10;retail and recreation;-46
2020-12-13;grocery and pharmacy;-19
2020-12-13;transit stations;-60
2020-12-15;retail and recreation;-41
2020-12-16;retail and recreation;-52
2020-12-17;residential;17
2020-12-18;retail and recreation;-52
2020-12-21;transit stations;-58
2020-12-22;workplaces;-56
2020-12-23;workplaces;-57
2020-12-24;residential;20
2020-12-25;transit stations;-90
2020-12-28;retail and recreation;-57
2020-12-28;workplaces;-78
2020-12-30;grocery and pharmacy;-10
2020-12-30;parks;28
2020-12-31;residential;24
2021-01-03;retail and recreation;-63
2021-01-03;workplaces;-20
2021-01-06;parks;-10
2021-01-07;parks;6
2021-01-08;workplaces;-56
2021-01-09;residential;17
2021-01-13;grocery and pharmacy;-29
2021-01-13;transit stations;-74
2021-01-14;workplaces;-58
2021-01-15;transit stations;-73
2021-01-15;workplaces;-57
2021-01-15;residential;25
2021-01-16;workplaces;-34
2021-01-17;parks;52
2021-01-17;transit stations;-70
2021-01-18;grocery and pharmacy;-30
2021-01-20;retail and recreation;-73
2021-01-20;parks;-31
2021-01-21;parks;14
2021-01-23;retail and recreation;-73
2021-01-24;parks;58
2021-01-24;workplaces;-33
2021-01-24;residential;14
2021-01-25;retail and recreation;-66
2021-01-28;grocery and pharmacy;-24
2021-01-28;residential;25
2021-01-29;transit stations;-71
2021-01-30;retail and recreation;-74
2021-01-30;grocery and pharmacy;-24
2021-01-31;workplaces;-33
2021-02-03;retail and recreation;-67
2021-02-04;retail and recreation;-68
2021-02-04;transit stations;-74
2021-02-05;residential;25
2021-02-07;retail and recreation;-72
2021-02-08;retail and recreation;-66
2021-02-10;parks;6
2021-02-10;transit stations;-74
2021-02-10;residential;24
2021-02-11;transit stations;-73
2021-02-11;workplaces;-57
2021-02-13;parks;1
2021-02-15;grocery and pharmacy;-21
2021-02-15;residential;23
2021-02-16;retail and recreation;-62
2021-02-16;grocery and pharmacy;-16
2021-02-17;retail and recreation;-65
2021-02-17;parks;9
2021-02-17;workplaces;-60
2021-02-18;grocery and pharmacy;-16
2021-02-20;retail and recreation;-72
2021-02-20;grocery and pharmacy;-19
2021-02-20;parks;-1
2021-02-20;residential;16
2021-02-21;retail and recreation;-67
2021-02-21;parks;55
2021-02-27;workplaces;-28
2021-02-28;residential;10
2021-03-01;residential;21
2021-03-02;parks;44
2021-03-03;parks;12
2021-03-07;workplaces;-25
2021-03-08;grocery and pharmacy;-12
2021-03-12;retail and recreation;-61
2021-03-13;transit stations;-71
2021-03-13;residential;14
2021-03-14;grocery and pharmacy;-12
2021-03-14;parks;54
2021-03-17;retail and recreation;-59
2021-03-18;residential;20
2021-03-23;retail and recreation;-55
2021-03-23;transit stations;-62
2021-03-24;grocery and pharmacy;-9
2021-03-26;parks;46
2021-03-27;retail and recreation;-65
2021-03-27;parks;70
2021-03-27;workplaces;-23
2021-03-28;grocery and pharmacy;-16
2021-03-28;parks;50
2021-03-28;transit stations;-67
2021-03-30;retail and recreation;-49
2021-04-01;retail and recreation;-51
2021-04-01;workplaces;-49
2021-04-02;retail and recreation;-60
2021-04-06;retail and recreation;-54
2021-04-06;parks;84
2021-04-06;transit stations;-65
2021-04-09;retail and recreation;-60
2021-04-12;grocery and pharmacy;-7
2021-04-12;transit stations;-53
2021-04-14;grocery and pharmacy;-5
2021-04-15;retail and recreation;-33
2021-04-15;grocery and pharmacy;-1
2021-04-16;workplaces;-52
2021-04-17;grocery and pharmacy;-3
2021-04-18;grocery and pharmacy;-4
2021-04-19;grocery and pharmacy;-4
2021-04-19;parks;134
2021-04-27;transit stations;-54
2021-04-28;grocery and pharmacy;-9
2021-04-28;workplaces;-45
2021-04-29;retail and recreation;-34
2021-04-30;retail and recreation;-37
2021-05-03;transit stations;-69
2021-05-03;workplaces;-78
2021-05-05;workplaces;-44
2021-05-07;grocery and pharmacy;0
2021-05-08;transit stations;-56
2021-05-09;workplaces;-13
2021-05-09;residential;6
2021-05-10;parks;68
2021-05-11;transit stations;-54
2021-05-11;workplaces;-43
2021-05-12;grocery and pharmacy;-3
2021-05-12;workplaces;-44
2021-05-13;retail and recreation;-42
2021-05-14;retail and recreation;-37
2021-05-14;workplaces;-42
2021-05-18;grocery and pharmacy;-3
2021-05-18;transit stations;-50
2021-05-19;transit stations;-50
2021-05-21;parks;15
2021-05-24;grocery and pharmacy;-5
2021-05-24;workplaces;-44
2021-05-24;residential;13
2021-05-25;retail and recreation;-28
2021-05-27;workplaces;-40
2021-05-29;transit stations;-30
2021-05-30;transit stations;-29
2021-05-30;residential;-2
2021-06-04;grocery and pharmacy;3
2021-06-04;residential;9
2021-06-07;parks;106
2021-06-07;workplaces;-42
2021-06-09;workplaces;-39
2021-06-12;retail and recreation;-34
2021-06-12;workplaces;-7
2021-06-13;retail and recreation;-29
2021-06-14;workplaces;-43
2021-06-15;parks;144
2021-06-18;parks;37
2021-06-21;transit stations;-48
2021-06-22;transit stations;-47
2021-06-26;workplaces;-6
2021-06-26;residential;1
2021-06-27;grocery and pharmacy;-5
2021-06-28;retail and recreation;-25
2021-07-01;workplaces;-42
2021-07-02;workplaces;-42
2021-07-02;residential;10
2021-07-05;workplaces;-45
2021-07-07;residential;13
2021-07-09;retail and recreation;-27
2021-07-11;transit stations;-34
2021-07-12;parks;62
2021-07-12;residential;14
2021-07-13;grocery and pharmacy;-3
2021-07-17;parks;93
2021-07-18;retail and recreation;-31
2021-07-19;grocery and pharmacy;2
2021-07-22;parks;124
2021-07-23;retail and recreation;-25
2021-07-23;workplaces;-48
2021-07-25;transit stations;-32
2021-08-02;transit stations;-50
2021-08-02;residential;13
2021-08-03;transit stations;-50
2021-08-04;retail and recreation;-19
2021-08-04;grocery and pharmacy;-4
2021-08-04;workplaces;-50
2021-08-08;residential;1
2021-08-09;grocery and pharmacy;-6
2021-08-10;parks;112
2021-08-13;workplaces;-50
2021-08-15;retail and recreation;-22
2021-08-16;transit stations;-49
2021-08-16;workplaces;-53
2021-08-19;workplaces;-50
2021-08-21;retail and recreation;-33
2021-08-22;retail and recreation;-20
2021-08-22;parks;82
2021-08-24;workplaces;-49
2021-08-26;workplaces;-50
2021-08-29;residential;-2
2021-08-31;transit stations;-51
2021-09-03;retail and recreation;-16
2021-09-08;retail and recreation;-20
2021-09-08;grocery and pharmacy;-2
2021-09-08;transit stations;-41
2021-09-10;parks;45
2021-09-11;retail and recreation;-20
2021-09-11;transit stations;-22
2021-09-12;retail and recreation;-14
2021-09-12;residential;0
2021-09-13;workplaces;-44
2021-09-13;residential;10
2021-09-14;residential;11
2021-09-15;transit stations;-37
2021-09-16;grocery and pharmacy;1
2021-09-16;residential;8
2021-09-17;retail and recreation;-11
2021-09-18;parks;78
2021-09-20;retail and recreation;-12
2021-09-20;parks;97
2021-09-21;retail and recreation;-10
2021-09-22;grocery and pharmacy;-1
2021-09-23;retail and recreation;-10
2021-09-24;grocery and pharmacy;4
2021-09-27;retail and recreation;-16
2021-09-27;parks;28
2021-09-28;parks;0
2021-09-29;transit stations;-36
2021-10-01;workplaces;-40
2021-10-02;retail and recreation;-24
2021-10-02;grocery and pharmacy;-10
2021-10-03;retail and recreation;-13
2021-10-03;transit stations;-17
2021-10-04;grocery and pharmacy;-2
2021-10-05;grocery and pharmacy;1
2021-10-06;residential;9
2021-10-08;retail and recreation;-13
2021-10-10;parks;69
2021-10-14;retail and recreation;-12
2021-10-14;parks;49
2021-10-14;residential;9
2021-10-18;workplaces;-41
2021-10-21;parks;54
2021-10-21;workplaces;-37
2021-10-23;workplaces;-10
2021-10-25;transit stations;-37
2021-10-27;retail and recreation;-11
2021-10-29;transit stations;-26
2021-11-01;workplaces;-41
2021-11-02;residential;10
2021-11-04;parks;37
2021-11-05;retail and recreation;-15
2021-11-05;transit stations;-27
2021-11-05;workplaces;-36
2021-11-08;grocery and pharmacy;0
2021-11-08;parks;26
2021-11-11;workplaces;-33
2021-11-12;parks;-1
2021-11-12;transit stations;-27
2021-11-13;workplaces;-6
2021-11-14;transit stations;-6
2021-11-15;workplaces;-37
2021-11-19;parks;17
2021-11-19;workplaces;-33
2021-11-20;workplaces;-9
2021-11-21;retail and recreation;-7
2021-11-21;workplaces;-3
2021-11-23;residential;10
2021-11-28;parks;19
2021-11-28;transit stations;-15
2021-11-30;grocery and pharmacy;4
2021-11-30;transit stations;-34
2021-11-30;residential;10
2021-12-04;retail and recreation;-8
2021-12-07;parks;-7
2021-12-08;workplaces;-31
2021-12-10;transit stations;-25
2021-12-12;parks;13
2021-12-14;transit stations;-39
2021-12-18;retail and recreation;-23
2021-12-21;retail and recreation;-5
2021-12-23;workplaces;-60
2021-12-24;workplaces;-69
2021-12-24;residential;17
2021-12-25;grocery and pharmacy;-89
2021-12-25;workplaces;-67
2021-12-26;parks;3
2021-12-26;workplaces;-38
2021-12-26;residential;3
2021-12-28;transit stations;-62
2021-12-30;retail and recreation;-17
2022-01-02;retail and recreation;-26
2022-01-02;parks;-8
2022-01-02;transit stations;-46
2022-01-02;residential;6
2022-01-07;residential;17
2022-01-09;grocery and pharmacy;-10
2022-01-09;parks;38
2022-01-09;transit stations;-38
2022-01-11;workplaces;-39
2022-01-16;transit stations;-33
2022-01-17;retail and recreation;-25
2022-01-17;grocery and pharmacy;-9
2022-01-18;grocery and pharmacy;-8
2022-01-20;workplaces;-37
2022-01-23;grocery and pharmacy;-11
2022-01-25;retail and recreation;-19
2022-01-26;retail and recreation;-21
2022-01-26;grocery and pharmacy;-8
2022-02-01;retail and recreation;-15
2022-02-01;residential;11
2022-02-02;grocery and pharmacy;-6
2022-02-02;workplaces;-34
2022-02-02;residential;11
2022-02-03;parks;26
2022-02-07;parks;22
2022-02-07;transit stations;-40
2020-02-15;transit stations;-9
2020-02-16;transit stations;-1
2020-02-17;residential;2
2020-02-18;retail and recreation;11
2020-02-18;grocery and pharmacy;0
2020-02-19;residential;2
2020-02-22;transit stations;10
2020-02-22;residential;0
2020-02-25;grocery and pharmacy;4
2020-02-25;workplaces;2
2020-02-26;workplaces;1
2020-02-27;parks;41
2020-02-28;grocery and pharmacy;1
2020-02-28;parks;3
2020-02-28;transit stations;12
2020-03-01;parks;32
2020-03-02;retail and recreation;-2
2020-03-02;grocery and pharmacy;3
2020-03-02;parks;23
2020-03-06;workplaces;0
2020-03-08;retail and recreation;7
2020-03-08;workplaces;3
2020-03-09;transit stations;-4
2020-03-09;workplaces;1
2020-03-10;residential;1
2020-03-11;transit stations;-5
2020-03-11;residential;1
2020-03-12;workplaces;-1
2020-03-13;retail and recreation;-7
2020-03-14;transit stations;-12
2020-03-17;retail and recreation;-24
2020-03-18;parks;-17
2020-03-19;residential;17
2020-03-20;retail and recreation;-46
2020-03-20;grocery and pharmacy;4
2020-03-21;parks;18
2020-03-22;workplaces;-34
2020-03-23;retail and recreation;-58
2020-03-30;parks;-15
2020-03-30;residential;31
2020-04-01;parks;-21
2020-04-01;residential;33
2020-04-03;transit stations;-79
2020-04-04;retail and recreation;-87
2020-04-07;grocery and pharmacy;-33
2020-04-07;transit stations;-80
