count_point_id,year,region_id,region_name,local_authority_id,local_authority_name,road_name,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles,estimation_method,estimation_method_detailed,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_4_or_more_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles
28416,2019,1,"South West",144,"Bristol, City of",A432,Major,A420,A4320,360230,173700,51.46086800,-2.57383540,0.60,0.37,Counted,"Manual count",600,215,4557,353,540,34,3,3,0,3,0,42,5708
7617,2019,1,"South West",144,"Bristol, City of",A4018,Major,A38,A4176,358020,173180,51.45603300,-2.60558220,3.00,1.86,Estimated,"Estimated using previous year's AADF on this link",3527,483,18659,801,2762,200,38,31,11,7,7,293,22998
18042,2019,1,"South West",144,"Bristol, City of",A4320,Major,"Lawrence Hill roundabout",A432,360454,173872,51.46243000,-2.57063070,0.70,0.43,Counted,"Manual count",494,558,29985,93,7415,646,113,106,44,189,191,1289,39340
70103,2019,1,"South West",144,"Bristol, City of",M5,Major,A4,"merge of feeder roads",352200,178000,51.49890600,-2.68999340,0.50,0.31,Counted,"Manual count",0,322,25429,117,3748,399,145,387,80,283,254,1548,31164
16961,2019,1,"South West",144,"Bristol, City of",A370,Major,A3029/B3120,"A38 roundabout",357400,172000,51.44537700,-2.61436240,1.90,1.18,Estimated,"Estimated using previous year's AADF on this link",431,294,12712,28,2464,175,45,109,9,85,69,493,15991
27127,2019,1,"South West",144,"Bristol, City of",A420,Major,A4320,B4467,361000,173360,51.45786500,-2.56271510,1.40,0.87,Estimated,"Estimated using previous year's AADF on this link",824,498,15434,465,3192,194,29,12,27,35,11,308,19898
8600,2019,1,"South West",144,"Bristol, City of",A4018,Major,A4162,A4162,356930,177440,51.49425200,-2.62178960,0.30,0.19,Estimated,"Estimated using previous year's AADF on this link",132,121,15199,219,1823,68,12,8,8,6,3,106,17468
46134,2019,1,"South West",144,"Bristol, City of",A4,Major,A370,A37,359755,172125,51.44667400,-2.58049240,0.60,0.37,Estimated,"Estimated using previous year's AADF on this link",1698,953,26787,782,6203,570,145,127,62,193,244,1341,36067
28726,2019,1,"South West",144,"Bristol, City of",A4,Major,A3029,"A4 split",357000,172591,51.45066000,-2.62018970,0.40,0.25,Estimated,"Estimated using previous year's AADF on this link",364,372,16160,391,2288,132,53,119,13,17,12,347,19557
46388,2018,1,"South West",144,"Bristol, City of",A37,Major,B3122,A4,360000,171540,51.44143100,-2.57690090,1.40,0.87,Estimated,"Estimated using previous year's AADF on this link",442,286,12712,250,2193,195,35,38,28,50,74,421,15862
74780,2018,1,"South West",144,"Bristol, City of",A3029,Major,"A3029 Brunel Way","A3029 Merchants Road",356900,172240,51.44749700,-2.62158580,0.30,0.19,Estimated,"Estimated using previous year's AADF on this link",25,41,1845,245,258,14,4,3,0,0,1,23,2412
70102,2018,1,"South West",144,"Bristol, City of",M5,Major,"merge of feeder roads",A4,352150,178250,51.50114900,-2.69074770,0.50,0.31,Estimated,"Estimated using previous year's AADF on this link",0,111,10271,22,5951,1747,530,828,158,1638,1943,6844,23199
58068,2018,1,"South West",144,"Bristol, City of",A38,Major,"Bedminster Rd",A3029,357600,170550,51.43235500,-2.61131060,0.20,0.12,Counted,"Manual count",214,260,12359,128,2722,277,41,41,7,28,30,423,15892
73295,2018,1,"South West",144,"Bristol, City of",A4018,Major,A4162,"LA Boundary",357335,178808,51.50658300,-2.61612210,2.60,1.62,Counted,"Manual count",95,151,18975,142,1949,100,20,14,9,11,8,163,21380
58069,2018,1,"South West",144,"Bristol, City of",A420,Major,A4017,"LA Boundary",364432,173922,51.46314500,-2.51337750,0.20,0.12,Estimated,"Estimated using previous year's AADF on this link",204,107,9127,230,2174,125,20,11,3,6,5,170,11808
74769,2018,1,"South West",144,"Bristol, City of",A4320,Major,A4032,M32,360200,174320,51.46644223,-2.57433726,0.30,0.19,Estimated,"Estimated from nearby links",0,193,13659,146,2312,373,55,68,21,39,169,724,17034
74767,2018,1,"South West",144,"Bristol, City of",M32,Major,A4032,A4230,360050,174140,51.46481200,-2.57647610,0.20,0.12,Estimated,"Estimated from nearby links",0,650,33003,334,4530,424,72,114,47,117,149,921,39439
74761,2018,1,"South West",144,"Bristol, City of",A4,Major,"A4 Bath Road","A4 Bristol Hill",361610,170800,51.43489000,-2.55365730,0.30,0.19,Counted,"Manual count",226,328,13275,185,2640,374,54,41,17,62,37,585,17013
74625,2018,1,"South West",144,"Bristol, City of",A38,Major,A3029,"A38 West street",357750,170660,51.43335500,-2.60916620,0.20,0.12,Estimated,"Estimated using previous year's AADF on this link",427,288,15928,184,3475,235,53,32,13,35,34,402,20277
74493,2018,1,"South West",144,"Bristol, City of",A370,Major,A38,A4,359400,171970,51.44525500,-2.58558260,0.70,0.43,Estimated,"Estimated using previous year's AADF on this link",439,148,11324,36,3860,220,36,12,6,16,16,307,15674
58285,2018,1,"South West",144,"Bristol, City of",A3029,Major,"A3029 Brunel Lock Road/McAdam Way","A4 midpoint",356840,172360,51.44857100,-2.62246380,0.20,0.12,Estimated,"Estimated using previous year's AADF on this link",112,723,46009,465,8057,855,188,401,72,275,336,2125,57380
99508,2018,1,"South West",144,"Bristol, City of",A4,Major,A4320,"Eagle Rd",361450,171000,51.43667700,-2.55598070,0.90,0.56,Estimated,"Estimated using previous year's AADF on this link",461,513,19435,357,4304,540,77,50,19,98,70,853,25463
74768,2018,1,"South West",144,"Bristol, City of",M32,Major,3,A4320,360200,174320,51.46644100,-2.57433720,0.20,0.12,Estimated,"Estimated from nearby links",0,774,54635,584,9247,1490,220,274,84,155,675,2897,68136
89207,2018,1,"South West",144,"Bristol, City of",A4174,Major,"B3130 Barrow Lane","LA Boundary",357499,168397,51.41299000,-2.61250450,3.10,1.93,Counted,"Manual count",60,105,9698,93,2060,192,43,88,10,42,60,435,12391
70104,2018,1,"South West",144,"Bristol, City of",A4,Major,A403,M5,351770,178500,51.50336500,-2.69625600,0.60,0.37,Estimated,"Estimated using previous year's AADF on this link",28,125,8831,87,4351,1446,460,773,343,942,1088,5052,18447
99507,2018,1,"South West",144,"Bristol, City of",A4320,Major,A4,A420,360500,173000,51.45459300,-2.56987090,2.30,1.43,Estimated,"Estimated using previous year's AADF on this link",298,353,25212,177,5374,679,143,119,78,184,237,1441,32557
99620,2018,1,"South West",144,"Bristol, City of",M5,Major,18,18A,353517,178492,51.50344000,-2.67108730,1.00,0.62,Estimated,"Estimated using previous year's AADF on this link",0,312,79928,292,11950,1073,242,178,158,1199,3131,5980,98461
74766,2018,1,"South West",144,"Bristol, City of",A4032,Major,M32,A4320,360050,174140,51.46481324,-2.57647608,0.30,0.19,Estimated,"Estimated from nearby links",0,162,8251,84,1133,106,18,28,12,29,37,230,9860
74492,2018,1,"South West",144,"Bristol, City of",A370,Major,A38,A4,359400,172050,51.44597400,-2.58559180,0.60,0.37,Estimated,"Estimated using previous year's AADF on this link",368,136,8348,118,532,322,85,77,4,15,26,529,9664
74495,2018,1,"South West",144,"Bristol, City of",A420,Major,A4044,"A420 split",359700,173180,51.45615500,-2.58140440,0.30,0.19,Counted,"Manual count",1081,434,13497,932,2727,139,30,33,10,5,7,225,17815
74765,2018,1,"South West",144,"Bristol, City of",A3029,Major,"A3029 Brunel Road",A370,357050,171880,51.44427200,-2.61938370,0.50,0.31,Estimated,"Estimated using previous year's AADF on this link",253,276,17616,31,3759,314,72,107,27,51,55,627,22309
77977,2018,1,"South West",144,"Bristol, City of",A4,Major,A4174,"Emery Rd",362500,170230,51.42982400,-2.54079410,0.60,0.37,Estimated,"Estimated from nearby links",512,888,29046,340,5737,647,103,85,34,113,60,1042,37053
74772,2018,1,"South West",144,"Bristol, City of",A38,Major,"A38 St Johns Bridge",A4440,358992,173458,51.45860400,-2.59162590,0.60,0.37,Counted,"Manual count",2299,448,13478,1699,2162,169,42,99,25,11,21,367,18154
73301,2018,1,"South West",144,"Bristol, City of",A370,Major,"LA Boundary","A369/A3029 midpoint",356391,171423,51.44011200,-2.62880870,0.30,0.19,Estimated,"Estimated using previous year's AADF on this link",241,495,29056,475,4389,542,107,474,61,112,172,1468,35883
57291,2018,1,"South West",144,"Bristol, City of",A4032,Major,A4044,M32,359900,173930,51.46291300,-2.57861130,0.70,0.43,Estimated,"Estimated using previous year's AADF on this link",2,812,41254,418,5663,530,90,142,58,146,186,1152,49299
74771,2018,1,"South West",144,"Bristol, City of",A38,Major,"A38 Colston Street roundabout","A38 St Johns Bridge",358690,173200,51.45626200,-2.59594220,0.30,0.19,Counted,"Manual count",1059,304,11120,2669,1708,193,43,113,11,9,20,389,16190
74781,2018,1,"South West",144,"Bristol, City of",A3029,Major,"A3029 Brunel Lock Road/McAdam Way","A4 Merchants Road",357100,172270,51.44778200,-2.61871170,0.10,0.06,Estimated,"Estimated from nearby links",57,28,1435,36,248,20,5,6,1,2,1,35,1781
81538,2018,1,"South West",144,"Bristol, City of",A3029,Major,A370,A369,356780,171700,51.44263300,-2.62324630,0.90,0.56,Estimated,"Estimated using previous year's AADF on this link",306,1008,52670,728,9249,791,245,564,60,347,325,2330,65984
