,Fuel Type,Emissions CO [mg/km],THC Emissions [mg/km],Emissions NOx [mg/km],THC + NOx Emissions [mg/km]
5125,Petrol,0.0,0.0,0.0,35.83783783783784
5126,Petrol,0.0,0.0,0.0,35.83783783783784
5127,Electricity,0.0,0.0,0.0,35.83783783783784
5128,Electricity,0.0,0.0,0.0,35.83783783783784
5129,Electricity,0.0,0.0,0.0,35.83783783783784
5130,Electricity,0.0,0.0,0.0,35.83783783783784
5131,Electricity,0.0,0.0,0.0,35.83783783783784
5132,Petrol,0.0,0.0,0.0,35.83783783783784
5133,Petrol,0.0,0.0,0.0,35.83783783783784
5134,Diesel,0.0,0.0,0.0,35.83783783783784
5135,Petrol,0.0,0.0,0.0,35.83783783783784
5136,Petrol,0.0,0.0,0.0,35.83783783783784
5137,Diesel,0.0,0.0,0.0,35.83783783783784
5138,Petrol,0.0,0.0,0.0,35.83783783783784
5139,Petrol,0.0,0.0,0.0,35.83783783783784
5140,Petrol,0.0,0.0,0.0,35.83783783783784
5141,Petrol,0.0,0.0,0.0,35.83783783783784
5142,Petrol,0.0,0.0,0.0,35.83783783783784
5143,Petrol,0.0,0.0,0.0,35.83783783783784
5144,Petrol,0.0,0.0,0.0,35.83783783783784
5145,Petrol,0.0,0.0,0.0,35.83783783783784
5146,Petrol,0.0,0.0,0.0,35.83783783783784
5147,Petrol,0.0,0.0,0.0,35.83783783783784
5148,Petrol,0.0,0.0,0.0,35.83783783783784
5149,Petrol,0.0,0.0,0.0,35.83783783783784
5150,Petrol,0.0,0.0,0.0,35.83783783783784
5151,Petrol,0.0,0.0,0.0,35.83783783783784
5152,Petrol,0.0,0.0,0.0,35.83783783783784
5153,Petrol,0.0,0.0,0.0,35.83783783783784
5154,Petrol,0.0,0.0,0.0,35.83783783783784
5155,Petrol,0.0,0.0,0.0,35.83783783783784
5156,Petrol,0.0,0.0,0.0,35.83783783783784
5157,Petrol,0.0,0.0,0.0,35.83783783783784
5158,Petrol,0.0,0.0,0.0,35.83783783783784
5159,Petrol,0.0,0.0,0.0,35.83783783783784
5160,Petrol,0.0,0.0,0.0,35.83783783783784
5161,Petrol,0.0,0.0,0.0,35.83783783783784
5162,Petrol,0.0,0.0,0.0,35.83783783783784
5163,Petrol,0.0,0.0,0.0,35.83783783783784
5164,Petrol,0.0,0.0,0.0,35.83783783783784
5165,Petrol,0.0,0.0,0.0,35.83783783783784
5166,Petrol,0.0,0.0,0.0,35.83783783783784
5167,Petrol,0.0,0.0,0.0,35.83783783783784
5168,Petrol,0.0,0.0,0.0,35.83783783783784
5169,Petrol,0.0,0.0,0.0,35.83783783783784
5170,Petrol,0.0,0.0,0.0,35.83783783783784
5171,Petrol,0.0,0.0,0.0,35.83783783783784
5172,Petrol,0.0,0.0,0.0,35.83783783783784
5173,Petrol,0.0,0.0,0.0,35.83783783783784
5174,Petrol,0.0,0.0,0.0,35.83783783783784
5175,Petrol,0.0,0.0,0.0,35.83783783783784
5176,Petrol,0.0,0.0,0.0,35.83783783783784
5177,Petrol,0.0,0.0,0.0,35.83783783783784
5178,Petrol,0.0,0.0,0.0,35.83783783783784
5179,Petrol,0.0,0.0,0.0,35.83783783783784
5180,Petrol,0.0,0.0,0.0,35.83783783783784
5181,Petrol,0.0,0.0,0.0,35.83783783783784
5182,Petrol,0.0,0.0,0.0,35.83783783783784
5183,Petrol,0.0,0.0,0.0,35.83783783783784
5184,Petrol,0.0,0.0,0.0,35.83783783783784
5185,Petrol,0.0,0.0,0.0,35.83783783783784
5186,Petrol,0.0,0.0,0.0,35.83783783783784
5187,Diesel,0.0,0.0,0.0,0.0
5188,Diesel,0.0,0.0,0.0,0.0
