,count_point_id,direction_of_travel,year,count_date,hour,region_id,region_name,local_authority_id,local_authority_name,road_name,road_type,easting,northing,latitude,longitude,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_4_or_more_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles
22115,968105,S,2007,21/09/2007,18,1,South West,144,"Bristol, City of",U,Minor,360100,174000,51.46355803,-2.57574052,4,0,13,0,2,0,0,0,0,0,0,0,15
22114,968105,S,2007,21/09/2007,17,1,South West,144,"Bristol, City of",U,Minor,360100,174000,51.46355803,-2.57574052,3,0,23,0,3,0,0,0,0,0,0,0,26
22113,968105,S,2007,21/09/2007,16,1,South West,144,"Bristol, City of",U,Minor,360100,174000,51.46355803,-2.57574052,3,0,38,0,0,2,1,0,0,0,0,3,41
22112,968105,S,2007,21/09/2007,15,1,South West,144,"Bristol, City of",U,Minor,360100,174000,51.46355803,-2.57574052,6,1,45,0,7,1,0,0,0,0,0,1,54
22111,968105,S,2007,21/09/2007,14,1,South West,144,"Bristol, City of",U,Minor,360100,174000,51.46355803,-2.57574052,1,1,20,1,4,1,0,0,0,0,0,1,27
22110,968105,S,2007,21/09/2007,13,1,South West,144,"Bristol, City of",U,Minor,360100,174000,51.46355803,-2.57574052,1,0,25,0,4,0,1,0,0,0,1,2,31
22109,968105,N,2007,21/09/2007,12,1,South West,144,"Bristol, City of",U,Minor,360100,174000,51.46355803,-2.57574052,4,5,217,2,50,12,1,1,0,0,1,15,289
22108,968105,N,2007,21/09/2007,11,1,South West,144,"Bristol, City of",U,Minor,360100,174000,51.46355803,-2.57574052,4,5,189,0,55,12,2,0,0,0,0,14,263
22107,968105,N,2007,21/09/2007,10,1,South West,144,"Bristol, City of",U,Minor,360100,174000,51.46355803,-2.57574052,0,0,149,0,69,11,2,4,0,0,0,17,235
22106,968105,N,2007,21/09/2007,9,1,South West,144,"Bristol, City of",U,Minor,360100,174000,51.46355803,-2.57574052,2,3,163,4,57,12,0,0,0,0,0,12,239
22105,968105,N,2007,21/09/2007,8,1,South West,144,"Bristol, City of",U,Minor,360100,174000,51.46355803,-2.57574052,5,2,190,1,65,20,1,0,0,0,0,21,279
22129,952443,N,2007,02/07/2007,8,1,South West,144,"Bristol, City of",U,Minor,362692,175983,51.48156473,-2.53864124,5,3,343,5,41,1,0,0,0,0,0,1,393
22680,99620,N,2007,18/06/2007,7,1,South West,144,"Bristol, City of",M5,Major,353300,178320,51.50187694,-2.67419065,0,18,3119,6,517,61,21,12,13,21,96,224,3884
22130,952443,N,2007,02/07/2007,9,1,South West,144,"Bristol, City of",U,Minor,362692,175983,51.48156473,-2.53864124,9,5,175,3,26,0,0,0,0,0,0,0,209
22131,952443,N,2007,02/07/2007,10,1,South West,144,"Bristol, City of",U,Minor,362692,175983,51.48156473,-2.53864124,2,0,191,4,19,1,1,1,0,0,0,3,217
